customer_id,arrival_time,service_time,drink,amount,quantity,payment_method,age,id_bartender,type_bartender,interarrival_seconds,arrival_seconds
1,2025-09-23 04:09:34.117177,163.30820797832538,Cerveza,300.0,1,qr,48,C001,cerveza,100.54913832516442,8.384
2,2025-09-23 04:11:14.666315,184.9673779537642,Cerveza,300.0,1,efectivo,59,C002,cerveza,39.633070602624095,108.93313832516442
3,2025-09-23 04:11:54.299386,171.68933559540045,Cerveza,300.0,1,efectivo,62,C003,cerveza,46.98626771957916,148.56620892778852
4,2025-09-23 04:12:41.285654,186.7039502184969,Cerveza,300.0,1,tarjeta,58,C004,cerveza,20.36461391657564,195.55247664736766
5,2025-09-23 04:13:01.650268,455.00508510144925,Caipirinha,1200.0,1,tarjeta,29,T001,coctel,75.9557120877216,215.9170905639433
6,2025-09-23 04:14:17.605980,413.33408520104786,Martini,1200.0,1,efectivo,53,T002,coctel,64.4423245221958,291.8728026516649
7,2025-09-23 04:15:22.048304,355.3230747979798,Mojito,1200.0,1,mercado_pago,26,T003,coctel,143.89638617515408,356.31512717386073
8,2025-09-23 04:17:45.944690,175.4068039140582,Cerveza,300.0,1,efectivo,33,C005,cerveza,88.73987623007694,500.2115133490148
9,2025-09-23 04:19:14.684567,207.71357134134144,Cerveza,300.0,1,qr,35,C004,cerveza,86.08793096849007,588.9513895790917
10,2025-09-23 04:20:40.772498,206.51867075768553,Cerveza,300.0,1,tarjeta,47,C004,cerveza,31.32187306717799,675.0393205475818
11,2025-09-23 04:21:12.094371,181.1242941966861,Cerveza,300.0,1,tarjeta,31,C003,cerveza,47.572419250518884,706.3611936147598
12,2025-09-23 04:21:59.666790,188.65839064570582,Cerveza,300.0,1,tarjeta,19,T001,coctel,81.55377378076804,753.9336128652787
13,2025-09-23 04:23:21.220564,180.00798373773392,Cerveza,300.0,1,tarjeta,48,T002,coctel,73.03430057583715,835.4873866460468
14,2025-09-23 04:24:34.254864,375.7236072762531,Negroni,1200.0,1,efectivo,20,T002,coctel,105.95915978894877,908.521687221884
15,2025-09-23 04:26:20.214024,192.0910589368278,Cerveza,300.0,1,qr,54,C002,cerveza,102.89192242931142,1014.4808470108328
16,2025-09-23 04:28:03.105946,409.7728020540634,Margarita,1200.0,1,efectivo,35,T003,coctel,38.01205938803578,1117.372769440144
17,2025-09-23 04:28:41.118006,237.9263045920162,Cerveza,300.0,1,qr,21,T001,coctel,86.1167736570024,1155.38482882818
18,2025-09-23 04:30:07.234779,182.94223496255952,Cerveza,300.0,1,qr,20,T002,coctel,43.67242957292515,1241.5016024851823
19,2025-09-23 04:30:50.907209,369.0422314036238,Old Fashioned,1200.0,1,efectivo,59,T003,coctel,67.979357284267,1285.1740320581075
20,2025-09-23 04:31:58.886566,366.7635463218,Cosmopolitan,1200.0,1,efectivo,53,T001,coctel,46.732496372126654,1353.1533893423746
21,2025-09-23 04:32:45.619063,130.79081966668704,Cerveza,300.0,1,qr,28,T003,coctel,118.98959729265322,1399.8858857145012
22,2025-09-23 04:34:44.608660,203.26010483423758,Cerveza,300.0,1,mercado_pago,57,T002,coctel,154.7263770547136,1518.8754830071543
23,2025-09-23 04:37:19.335037,183.69536611012285,Cerveza,300.0,1,qr,21,C004,cerveza,81.09445375243072,1673.601860061868
24,2025-09-23 04:38:40.429491,476.0990022929843,Daiquiri,1200.0,1,mercado_pago,56,T002,coctel,83.14532782269362,1754.6963138142987
25,2025-09-23 04:40:03.574819,170.55389382678786,Cerveza,300.0,1,qr,51,T001,coctel,71.66187319620212,1837.8416416369923
26,2025-09-23 04:41:15.236692,164.73877275476084,Cerveza,300.0,1,qr,50,T003,coctel,80.07757582230747,1909.5035148331945
27,2025-09-23 04:42:35.314268,197.0985598890428,Cerveza,300.0,1,mercado_pago,21,T001,coctel,23.649587217301885,1989.5810906555018
28,2025-09-23 04:42:58.963855,167.8391181842918,Cerveza,300.0,1,mercado_pago,33,T002,coctel,60.30231073651489,2013.2306778728037
29,2025-09-23 04:43:59.266166,204.3537916438685,Cerveza,300.0,1,qr,20,C005,cerveza,62.51611673738802,2073.5329886093186
30,2025-09-23 04:45:01.782282,188.5540938127758,Cerveza,300.0,1,qr,54,C003,cerveza,44.7675323910624,2136.0491053467067
31,2025-09-23 04:45:46.549815,163.73373645379473,Cerveza,300.0,1,efectivo,42,C003,cerveza,100.79932481871731,2180.8166377377693
32,2025-09-23 04:47:27.349140,184.19645511839454,Cerveza,300.0,1,mercado_pago,29,T003,coctel,46.28150169066865,2281.6159625564865
33,2025-09-23 04:48:13.630641,198.80694832398166,Cerveza,300.0,1,efectivo,64,T001,coctel,47.353964439933506,2327.8974642471553
34,2025-09-23 04:49:00.984606,171.81913659969902,Cerveza,300.0,1,qr,36,T002,coctel,55.43827402202094,2375.2514286870887
35,2025-09-23 04:49:56.422880,153.86770028128666,Cerveza,300.0,1,qr,64,C001,cerveza,103.88311057189071,2430.6897027091095
36,2025-09-23 04:51:40.305990,184.38620254880107,Cerveza,300.0,1,mercado_pago,32,T001,coctel,52.44576083904034,2534.572813281
37,2025-09-23 04:52:32.751751,230.41983525283857,Cerveza,300.0,1,mercado_pago,29,T003,coctel,52.836584011388375,2587.0185741200403
38,2025-09-23 04:53:25.588335,172.3658290390718,Cerveza,300.0,1,tarjeta,26,C005,cerveza,67.34618148211477,2639.8551581314287
39,2025-09-23 04:54:32.934517,172.1885768290975,Cerveza,300.0,1,tarjeta,39,T001,coctel,61.09934639483604,2707.2013396135435
40,2025-09-23 04:55:34.033863,163.94118900932395,Cerveza,300.0,1,tarjeta,21,T003,coctel,71.21009546560484,2768.3006860083797
41,2025-09-23 04:56:45.243958,210.42301120644868,Cerveza,300.0,1,qr,28,T001,coctel,71.46883876474782,2839.5107814739845
42,2025-09-23 04:57:56.712797,423.30171925345843,Manhattan,1200.0,1,mercado_pago,45,T003,coctel,74.73400059203315,2910.9796202387324
43,2025-09-23 04:59:11.446798,179.93366765156634,Cerveza,300.0,1,tarjeta,65,T003,coctel,62.00123785146468,2985.7136208307656
44,2025-09-23 05:00:13.448036,184.26008667166593,Cerveza,300.0,1,mercado_pago,21,T002,coctel,60.671953189735845,3047.7148586822304
45,2025-09-23 05:01:14.119989,359.65336900574175,Gimlet,1200.0,1,efectivo,41,T001,coctel,47.149167752328786,3108.386811871966
46,2025-09-23 05:02:01.269157,356.97388069159064,Caipirinha,1200.0,1,tarjeta,25,T002,coctel,68.96198921000182,3155.5359796242947
47,2025-09-23 05:03:10.231146,192.9190881166795,Cerveza,300.0,1,efectivo,59,T001,coctel,33.40584955714678,3224.4979688342964
48,2025-09-23 05:03:43.636995,191.19358709658974,Cerveza,300.0,1,qr,35,T003,coctel,53.908660000597855,3257.903818391443
49,2025-09-23 05:04:37.545655,150.66118808704272,Cerveza,300.0,1,qr,49,C003,cerveza,77.53127152548167,3311.812478392041
50,2025-09-23 05:05:55.076927,371.7295126688572,Martini,1200.0,1,tarjeta,32,T003,coctel,76.0180955636395,3389.343749917523
51,2025-09-23 05:07:11.095022,197.77632865516648,Cerveza,300.0,1,mercado_pago,63,C003,cerveza,50.28582779760172,3465.3618454811626
52,2025-09-23 05:08:01.380850,392.7084008906127,Mojito,1200.0,1,tarjeta,60,T001,coctel,71.37439611822828,3515.647673278764
53,2025-09-23 05:09:12.755246,160.60276031996813,Cerveza,300.0,1,efectivo,36,T003,coctel,42.74109039142212,3587.0220693969923
54,2025-09-23 05:09:55.496337,151.98518243706735,Cerveza,300.0,1,tarjeta,49,T002,coctel,114.87807194043499,3629.763159788414
55,2025-09-23 05:11:50.374409,174.5715503233742,Cerveza,300.0,1,efectivo,37,T001,coctel,37.304322173556834,3744.641231728849
56,2025-09-23 05:12:27.678731,188.4145695319505,Cerveza,300.0,1,mercado_pago,39,T002,coctel,65.46316069390407,3781.945553902406
57,2025-09-23 05:13:33.141892,178.13790171513125,Cerveza,300.0,1,mercado_pago,48,T003,coctel,41.05444296205682,3847.4087145963103
58,2025-09-23 05:14:14.196335,165.68704953855962,Cerveza,300.0,1,qr,34,C001,cerveza,21.932367651705587,3888.463157558367
59,2025-09-23 05:14:36.128702,165.17976437926012,Cerveza,300.0,1,tarjeta,36,T002,coctel,82.73302486081408,3910.3955252100727
60,2025-09-23 05:15:58.861727,186.26735205637095,Cerveza,300.0,1,tarjeta,49,T003,coctel,27.158683928256394,3993.128550070887
61,2025-09-23 05:16:26.020411,174.26917173817327,Cerveza,300.0,1,efectivo,42,T001,coctel,50.031421002503514,4020.287233999143
62,2025-09-23 05:17:16.051832,155.58720983133554,Cerveza,300.0,1,tarjeta,62,C003,cerveza,102.06858000278297,4070.3186550016467
63,2025-09-23 05:18:58.120412,396.24597298150394,Negroni,1200.0,1,mercado_pago,32,T002,coctel,79.91491768562184,4172.387235004429
64,2025-09-23 05:20:18.035330,149.60774898717995,Cerveza,300.0,1,mercado_pago,56,C002,cerveza,89.2350363677817,4252.302152690051
65,2025-09-23 05:21:47.270366,172.31367203719225,Cerveza,300.0,1,mercado_pago,65,T001,coctel,45.58325247496758,4341.537189057833
66,2025-09-23 05:22:32.853619,172.3555063565492,Cerveza,300.0,1,mercado_pago,39,C001,cerveza,68.71674122534793,4387.1204415328
67,2025-09-23 05:23:41.570360,136.43548512832444,Cerveza,300.0,1,tarjeta,39,C005,cerveza,85.62428598779246,4455.837182758148
68,2025-09-23 05:25:07.194646,176.1543001236112,Cerveza,300.0,1,qr,53,C003,cerveza,90.9203746255991,4541.46146874594
69,2025-09-23 05:26:38.115020,370.15801856049825,Margarita,1200.0,1,qr,51,T003,coctel,62.495335576655904,4632.381843371539
70,2025-09-23 05:27:40.610356,341.0353670889209,Old Fashioned,1200.0,1,tarjeta,37,T001,coctel,47.52381257343179,4694.877178948194
71,2025-09-23 05:28:28.134169,192.08337470302234,Cerveza,300.0,1,tarjeta,63,T003,coctel,35.62081410806719,4742.400991521627
72,2025-09-23 05:29:03.754983,204.49377584314234,Cerveza,300.0,1,efectivo,37,T002,coctel,20.054240628044752,4778.0218056296935
73,2025-09-23 05:29:23.809223,196.5761891476411,Cerveza,300.0,1,tarjeta,50,C002,cerveza,64.40138629519655,4798.076046257738
74,2025-09-23 05:30:28.210610,167.98848196161146,Cerveza,300.0,1,qr,30,C004,cerveza,40.21789870953856,4862.477432552935
75,2025-09-23 05:31:08.428508,163.81819086892023,Cerveza,300.0,1,efectivo,32,C005,cerveza,43.79009532655379,4902.695331262474
76,2025-09-23 05:31:52.218604,188.92185820240272,Cerveza,300.0,1,mercado_pago,52,C004,cerveza,92.55323498668929,4946.485426589027
77,2025-09-23 05:33:24.771839,158.89005914459716,Cerveza,300.0,1,efectivo,54,T001,coctel,38.9931373064145,5039.038661575716
78,2025-09-23 05:34:03.764976,160.98673339381017,Cerveza,300.0,1,efectivo,31,T002,coctel,45.026322886066744,5078.031798882131
